OS,CVE,PO
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1637,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1638,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1639,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1640,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1853,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1854,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1855,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1856,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1857,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1858,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1859,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1862,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1863,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1864,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1865,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1867,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1868,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1869,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1870,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1871,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1872,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1873,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1874,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1875,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-1876,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2007,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2008,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2010,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2011,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21123,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21125,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21127,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21166,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21426,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21426,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21426,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21434,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21434,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21434,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21476,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21476,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21476,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21496,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21496,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21496,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21540,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21540,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21540,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21541,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21541,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21541,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2156,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2157,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2158,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2160,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2161,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2162,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21626,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21626,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21626,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21628,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_3113687\javaws.exe
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21628,JavaTM Platform - 8 U321 - C:\Program Files (x86)\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21628,JavaTM Platform - 8 U321 - C:\Program Files\Java\jre1.8.0_321\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2163,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2164,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2165,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21845,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21911,Microsoft .NET Framework - 3.5
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21911,Microsoft .NET Framework - 4.8 - C:\Windows\Microsoft.NET\Framework\v4.0.30319\ C:\Windows\Microsoft.NET\Framework64\v4.0.30319\
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21967,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21971,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21972,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21974,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21981,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21983,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21984,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21985,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21989,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21990,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21992,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21993,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21994,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21997,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21998,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-21999,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22000,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22001,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22002,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22010,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22011,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22012,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22013,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22014,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22015,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22016,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22019,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22021,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22022,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22023,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22024,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22025,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22026,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22027,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22031,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22034,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22035,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22036,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22037,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22038,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22040,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22041,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22043,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22045,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22047,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22048,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22049,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22050,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22710,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22711,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22715,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22717,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-22718,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2294,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-2295,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23253,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23270,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23279,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23281,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23283,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23284,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23285,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23286,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23287,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23288,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23290,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23291,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23293,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23294,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23296,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23297,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23298,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23299,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-23824,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24102,Adobe Acrobat Reader DC - 21.011.20039 - C:\Program Files (x86)\Adobe\Acrobat Reader DC
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24103,Adobe Acrobat Reader DC - 21.011.20039 - C:\Program Files (x86)\Adobe\Acrobat Reader DC
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24104,Adobe Acrobat Reader DC - 21.011.20039 - C:\Program Files (x86)\Adobe\Acrobat Reader DC
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24454,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24459,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24460,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24474,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24475,Microsoft Edge (Chromium) - 98.0.1108.56 - C:\Program Files (x86)\Microsoft\Edge\Application
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24479,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24481,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24482,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24483,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24485,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24486,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2022-24487,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64)
