Код,Задача,IP-адрес,FQDN,OS,CVE,PO,ID,Базовая оценка CVSS v2,Базовая оценка CVSS v3,Уровень опасности,Уязвимость,Как исправить,Ссылки,Неустановленное обновление безопасности,Ссылки на обновления,Дата выпуска обновления,Коэффициент,Уровень изоляции,Критичность,Уровень критичночти
32,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,197540,"5,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21426 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
5,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2471",Microsoft .NET Framework - 3.5,197542,"5,0","5,3",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21434 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
18,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3638,Microsoft .NET Framework - 3.5,197542,"5,0","5,3",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21434 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
31,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3680,Microsoft .NET Framework - 3.5,197542,"5,0","5,3",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21434 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
2,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2471",Microsoft .NET Framework - 3.5,197539,"5,0","7,5",Высокий уровень,Раскрытие информации,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21476 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","6,75",Высокий
15,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,197539,"5,0","7,5",Высокий уровень,Раскрытие информации,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21476 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","6,75",Высокий
28,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,197539,"5,0","7,5",Высокий уровень,Раскрытие информации,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21476 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","6,75",Высокий
4,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,197541,"5,0","5,3",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21496 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
17,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,197541,"5,0","5,3",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21496 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
30,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,197541,"5,0","5,3",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21496 https://www.oracle.com/security-alerts/cpuapr2022.html#AppendixJAVA,,,,1,"0,9","4,77",Средний
9,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,198022,"0,0","5,3",Средний уровень,Несанкционированный доступ на чтение,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21540,,,,1,"0,9","4,77",Средний
22,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,198022,"0,0","5,3",Средний уровень,Несанкционированный доступ на чтение,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21540,,,,1,"0,9","4,77",Средний
35,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,198022,"0,0","5,3",Средний уровень,Несанкционированный доступ на чтение,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21540,,,,1,"0,9","4,77",Средний
7,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2472",Microsoft .NET Framework - 3.5,198023,"0,0","5,9",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21541,,,,1,"0,9","5,31",Высокий
20,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3722,Microsoft .NET Framework - 3.5,198023,"0,0","5,9",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21541,,,,1,"0,9","5,31",Высокий
33,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3764,Microsoft .NET Framework - 3.5,198023,"0,0","5,9",Средний уровень,Несанкционированный доступ,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/javase-downloads.html",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21541,,,,1,"0,9","5,31",Высокий
180,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2472",Microsoft .NET Framework - 3.5,470278,"0,0","8,8",Высокий уровень,Использование после освобождения,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2156,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2156,,,,"0,6","0,9","4,752",Средний
181,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,470279,"0,0","8,8",Высокий уровень,Использование после освобождения,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2157,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2157,,,,"0,6","0,9","4,752",Средний
349,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,470280,"0,0","8,8",Высокий уровень,Смешение типов,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2158,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2158,,,,"0,6","0,9","4,752",Средний
481,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,470281,"0,0","6,5",Средний уровень,Некорректное применение политик (инструменты разработчика),Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2160,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2160,,,,"0,6","0,9","3,51",Средний
182,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,470282,"0,0","8,8",Высокий уровень,Использование после освобождения,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2161,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2161,,,,"0,6","0,9","4,752",Средний
289,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,470283,"0,0","8,8",Высокий уровень,Некорректное применение политик (API файловой системы),Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2162,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2162,,,,"0,6","0,9","4,752",Средний
10,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,198175,"0,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/downloads/",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21626,,,,1,"0,9","4,77",Средний
23,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,198175,"0,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/downloads/",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21626,,,,1,"0,9","4,77",Средний
36,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,198175,"0,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/downloads/",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21626,,,,1,"0,9","4,77",Средний
11,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2473",Microsoft .NET Framework - 3.5,198176,"0,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/downloads/",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21628,,,,1,"0,9","4,77",Средний
24,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3806,Microsoft .NET Framework - 3.5,198176,"0,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/downloads/",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21628,,,,1,"0,9","4,77",Средний
41,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3848,Microsoft .NET Framework - 3.5,198176,"0,0","5,3",Средний уровень,Отказ в обслуживании,"Для устранения уязвимости необходимо установить последнюю версию продукта, соответствующую используемой платформе. Необходимую информацию можно получить по адресу: https://www.oracle.com/java/technologies/downloads/",http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21628,,,,1,"0,9","4,77",Средний
183,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2473",Microsoft .NET Framework - 3.5,470284,"0,0","8,8",Высокий уровень,Использование после освобождения,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2163,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2163,,,,"0,6","0,9","4,752",Средний
405,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,470285,"0,0","6,3",Средний уровень,Некорректная реализация (API расширений),Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2164,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2164,,,,"0,6","0,9","3,402",Средний
399,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,470286,"0,0","4,3",Средний уровень,Недостаточная проверка данных,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-2165,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-2165,,,,"0,6","0,9","2,322",Низкий
945,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,470293,"0,0","4,7",Средний уровень,Раскрытие информации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21845,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21845,,,,1,"0,9","4,23",Средний
70,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,419759,"0,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21911,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21911,,,,1,"0,9","6,75",Высокий
98,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,419759,"0,0","7,5",Высокий уровень,Отказ в обслуживании,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21911,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21911,,,,1,"0,9","6,75",Высокий
588,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,419878,"0,0","7,0",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21967,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21967,,,,1,"0,9","6,3",Высокий
771,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,419811,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21971,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21971,,,,1,"0,9","7,02",Kритический
796,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,470110,"0,0","8,1",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21972,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21972,,,,1,"0,9","7,29",Kритический
772,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2474",Microsoft .NET Framework - 3.5,419812,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21974,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21974,,,,1,"0,9","7,02",Kритический
561,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3890,Microsoft .NET Framework - 3.5,419813,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21981,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21981,,,,1,"0,9","7,02",Kритический
779,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3932,Microsoft .NET Framework - 3.5,419957,"0,0","7,5",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21983,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21983,,,,1,"0,9","6,75",Высокий
773,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2474",Microsoft .NET Framework - 3.5,419814,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21984,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21984,,,,1,"0,9","7,92",Kритический
923,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2462,Microsoft .NET Framework - 3.5,419815,"0,0","5,5",Средний уровень,Раскрытие информации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21985,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21985,,,,1,"0,9","4,95",Средний
562,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-2504,Microsoft .NET Framework - 3.5,419816,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21989,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21989,,,,1,"0,9","7,02",Kритический
778,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6096,Microsoft .NET Framework - 3.5,419882,"0,0","8,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21990,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21990,,,,1,"0,9","7,92",Kритический
774,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6108,Microsoft .NET Framework - 3.5,419817,"0,0","7,8",Высокий уровень,Удаленное выполнение кода,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21992,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21992,,,,1,"0,9","7,02",Kритический
769,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-6115,Microsoft .NET Framework - 3.5,419818,"0,0","7,5",Высокий уровень,Раскрытие информации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21993,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21993,,,,1,"0,9","6,75",Высокий
563,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0033,Microsoft .NET Framework - 3.5,419819,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21994,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21994,,,,1,"0,9","7,02",Kритический
564,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0047,Microsoft .NET Framework - 3.5,419821,"0,0","7,1",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21997,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21997,,,,1,"0,9","6,39",Высокий
924,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2016-0132,Microsoft .NET Framework - 3.5,419822,"0,0","5,5",Средний уровень,Раскрытие информации,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21998,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21998,,,,1,"0,9","4,95",Средний
565,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),"CVE-2015-2455, CVE-2015-2475",Microsoft .NET Framework - 3.5,419823,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-21999,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-21999,,,,1,"0,9","7,02",Kритический
566,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-3974,Microsoft .NET Framework - 3.5,419824,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-22000,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-22000,,,,1,"0,9","7,02",Kритический
567,Эталонный образ RUS,10.85.37.116,D-CZC7447BMM.vip.cbr.ru,Microsoft Windows - Windows 10 version 21H1 ProfessionalWorkstation (x64),CVE-2015-4016,Microsoft .NET Framework - 3.5,419825,"0,0","7,8",Высокий уровень,Повышение привилегий,Используйте рекомендации производителя: https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-22001,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-22001,,,,1,"0,9","7,02",Kритический
